pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,sy_dist,st_teff,st_rad,st_mass,decade,earth_radius_class,orbital_period_class,distance_class_pc,disc_year_int
11 Com b,11 Com,Radial Velocity,2007.0,Xinglong Station,12.2,4914.89848585,323.21,1.178,93.1846,4874.0,13.76,2.09,2000,Gas giant 6–15,50–365 days,50–100 pc,2007
11 UMi b,11 UMi,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,12.3,4684.8142,516.21997,1.53,125.321,4213.0,29.79,2.78,2000,Gas giant 6–15,1–10 years,100–500 pc,2009
14 And b,14 And,Radial Velocity,2008.0,Okayama Astrophysical Observatory,13.1,1131.15130051,186.76,0.775,75.4392,4888.0,11.55,1.78,2000,Gas giant 6–15,50–365 days,50–100 pc,2008
14 Her b,14 Her,Radial Velocity,2002.0,W. M. Keck Observatory,12.5,2828.6728223,1766.41,2.839,17.9323,5338.0,0.93,0.97,2000,Gas giant 6–15,1–10 years,10–50 pc,2002
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,Multiple Observatories,13.5,565.7374,798.5,1.66,21.1397,5750.0,1.13,1.08,1990,Gas giant 6–15,1–10 years,10–50 pc,1996
17 Sco b,17 Sco,Radial Velocity,2020.0,Lick Observatory,12.9,1373.01871824,578.38,1.45,124.953,4157.0,25.92,1.22,2020,Gas giant 6–15,1–10 years,100–500 pc,2020
18 Del b,18 Del,Radial Velocity,2008.0,Okayama Astrophysical Observatory,12.5,2926.24614325,982.85,2.476,76.222,4980.0,8.8,2.1,2000,Gas giant 6–15,1–10 years,50–100 pc,2008
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,Gemini Observatory,18.647,3000.0,,330.0,139.135,4060.0,1.31316,0.85,2000,>15 Earth radii,Unknown,100–500 pc,2008
24 Boo b,24 Boo,Radial Velocity,2018.0,Okayama Astrophysical Observatory,13.9,280.64248338,30.33,0.194,95.9863,4816.0,12.19,1.05,2010,Gas giant 6–15,10–50 days,50–100 pc,2018
24 Sex b,24 Sex,Radial Velocity,2010.0,Lick Observatory,13.4,632.46,452.8,1.333,72.0691,5098.0,4.9,1.54,2010,Gas giant 6–15,1–10 years,50–100 pc,2010
24 Sex c,24 Sex,Radial Velocity,2010.0,Lick Observatory,13.9,273.32,883.0,2.08,72.0691,5098.0,4.9,1.54,2010,Gas giant 6–15,1–10 years,50–100 pc,2010
2M0437 b,2MASS J04372171+2651014,Imaging,2021.0,Subaru Telescope,13.0,1271.313628,,118.0,128.484,3100.0,0.84,0.17,2020,Gas giant 6–15,Unknown,100–500 pc,2021
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013.0,Paranal Observatory,12.3,4131.79,,84.0,47.2,,,0.19,2010,Gas giant 6–15,Unknown,10–50 pc,2013
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013.0,W. M. Keck Observatory,11.209,7786.5,,52.0,33.8281,3530.0,0.36645,0.4,2010,Gas giant 6–15,Unknown,10–50 pc,2013
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015.0,Cerro Tololo Inter-American Observatory,16.14096,4417.837,,156.0,40.08964117,3064.0,0.281,0.108,2010,>15 Earth radii,Unknown,10–50 pc,2015
